Asset,Window,Cutoff,Ann_Return,Sharpe,Win_Rate
纳指100,20,500,0.19548176152313623,1.2477158744470869,0.5354523227383863
纳指100,20,600,0.19843680231496524,1.2559593486981204,0.5344129554655871
纳指100,20,800,0.20698564035193034,1.2974531833939213,0.5351089588377724
纳指100,20,1000,0.20884762167081733,1.308112830744725,0.5350523771152297
纳指100,20,None,0.1872731241111717,1.098870181307808,0.5337569499602859
纳指100,25,300,0.20203295106527758,1.2992861564097098,0.5402298850574713
纳指100,25,400,0.2071075257995684,1.3122947880378695,0.5413290113452188
纳指100,25,500,0.20730205220847497,1.309572434411188,0.5416329830234439
纳指100,25,600,0.2180486963301786,1.3641438945219342,0.5423728813559322
纳指100,25,800,0.2183522691603621,1.3487304514307328,0.542604501607717
纳指100,25,1000,0.2161593137562746,1.3344499333581148,0.5416666666666666
纳指100,25,None,0.19424273539379835,1.1378095302308402,0.5401111993645751
纳指100,30,300,0.17389667087943858,1.085590467862547,0.5350523771152297
纳指100,30,400,0.1940728795239098,1.1803473117453518,0.5373015873015873
纳指100,30,500,0.19415379519156256,1.179537597227963,0.5376088677751386
纳指100,30,600,0.17857876226697947,1.0749385945490415,0.5357985837922895
纳指100,30,800,0.1801410008373203,1.0749437476873829,0.5348472983555208
纳指100,30,1000,0.17368307246585263,1.0301892976634228,0.5344287949921753
纳指100,30,None,0.16282503680475457,0.9322384080175333,0.5343213728549142
日经ETF,20,300,0.1252027093963397,0.8525417970211888,0.4827175208581645
日经ETF,20,400,0.14161256055708013,0.9420554117653437,0.4843568945538818
日经ETF,20,500,0.13729084219628787,0.907647068508484,0.4840182648401826
日经ETF,20,600,0.1443733577110415,0.9422030410981643,0.4852607709750567
日经ETF,20,800,0.12301823264466942,0.7692384339422094,0.4853932584269663
日经ETF,20,1000,0.11600121818335513,0.7186045358602281,0.4854586129753915
日经ETF,20,None,0.09368933660473808,0.5629137172970184,0.484375
日经ETF,25,300,0.17454072365102583,1.0848451686052762,0.4966442953020134
日经ETF,25,400,0.16388924840936644,0.9882737896016126,0.4961580680570801
日经ETF,25,500,0.17011508639537576,1.0235934064275967,0.49781181619256015
日经ETF,25,600,0.14551121365081515,0.8494539073544439,0.4961915125136017
日经ETF,25,800,0.14232635877200842,0.8283420388281649,0.496199782844734
日经ETF,25,1000,0.14232635877200842,0.8283420388281649,0.496199782844734
日经ETF,25,None,0.14232635877200842,0.8283420388281649,0.496199782844734
日经ETF,30,300,0.12117830008552122,0.718253340340754,0.48558758314855877
